action1,action2,action3,action4,action5,action6,action7,action8
-5.160520076751708984e-01,-6.908562779426574707e-02,1.434072703123092651e-01,2.500827908515930176e-01,-6.242582798004150391e-01,8.480377197265625000e-01,7.821621298789978027e-01,6.790494322776794434e-01
7.722526043653488159e-02,-8.072196841239929199e-01,-1.763883978128433228e-01,-4.281387031078338623e-01,7.058384418487548828e-01,6.515408158302307129e-01,6.503039002418518066e-01,4.029449224472045898e-01
8.109042644500732422e-01,-5.523124933242797852e-01,-4.158252477645874023e-02,-4.349648952484130859e-01,-5.504041314125061035e-01,6.579679846763610840e-01,3.764466345310211182e-01,4.281749725341796875e-01
-3.546272218227386475e-02,-3.019170463085174561e-01,4.136256873607635498e-01,-6.943861246109008789e-01,-9.352868199348449707e-01,9.016767740249633789e-01,8.119723200798034668e-01,6.919316649436950684e-01
-3.681853413581848145e-01,1.744618266820907593e-01,2.828000783920288086e-01,-6.005525588989257812e-01,-8.516696691513061523e-01,8.782671093940734863e-01,7.080042362213134766e-01,6.668858528137207031e-01
-1.134900469332933426e-02,6.818144023418426514e-02,2.521223723888397217e-01,-6.634851098060607910e-01,7.825536131858825684e-01,4.340326488018035889e-01,6.116762161254882812e-01,6.231888532638549805e-01
-9.572959542274475098e-01,5.604595541954040527e-01,2.473182231187820435e-01,-8.496417999267578125e-01,7.113586664199829102e-01,2.248782068490982056e-01,3.559327423572540283e-01,3.823777139186859131e-01
-8.912998437881469727e-01,-6.944265365600585938e-01,-2.514045536518096924e-01,-4.671461582183837891e-01,2.983207404613494873e-01,2.489238977432250977e-01,9.148625656962394714e-03,3.110871315002441406e-01
6.040563583374023438e-01,-7.032469511032104492e-01,-6.333613991737365723e-01,-5.582312494516372681e-02,-6.455981731414794922e-01,4.367091879248619080e-02,-2.187007516622543335e-01,1.039643511176109314e-01
6.510083675384521484e-01,-7.671649754047393799e-02,9.475208520889282227e-01,-5.692567825317382812e-01,-7.317422628402709961e-01,4.000981152057647705e-02,8.894155621528625488e-01,7.200157046318054199e-01
-5.035045146942138672e-01,-2.718870937824249268e-01,-4.281466454267501831e-02,-5.846871137619018555e-01,6.454744338989257812e-01,5.713469386100769043e-01,4.540416002273559570e-01,1.665904670953750610e-01
5.870153903961181641e-01,-2.627401947975158691e-01,2.081044167280197144e-01,-2.054803073406219482e-01,-6.045591831207275391e-01,5.708892345428466797e-01,1.747388243675231934e-01,5.396269559860229492e-01
-3.229464888572692871e-01,-2.405796647071838379e-01,-2.390869148075580597e-02,-5.906232595443725586e-01,3.496867120265960693e-01,4.591135978698730469e-01,3.177698552608489990e-01,2.530781924724578857e-01
2.834793627262115479e-01,-2.620619907975196838e-02,3.045550882816314697e-01,-3.884157240390777588e-01,-9.213416576385498047e-01,7.929782867431640625e-01,4.687062203884124756e-01,7.289156913757324219e-01
6.880657672882080078e-01,-1.554132997989654541e-01,-2.085759639739990234e-01,-3.293500244617462158e-01,-6.361132860183715820e-01,7.111438512802124023e-01,3.047838211059570312e-01,6.046620607376098633e-01
7.651962041854858398e-01,-1.343623921275138855e-02,4.736123383045196533e-01,-4.681035578250885010e-01,-6.138226985931396484e-01,6.631889343261718750e-01,3.915219604969024658e-01,5.914438962936401367e-01
6.223003864288330078e-01,4.307147115468978882e-02,5.959498882293701172e-01,-5.964086055755615234e-01,-3.447911739349365234e-01,6.379064321517944336e-01,4.370293021202087402e-01,5.946662425994873047e-01
8.455697447061538696e-02,-8.219590783119201660e-02,6.189492940902709961e-01,-5.938349962234497070e-01,2.546426355838775635e-01,2.031090557575225830e-01,6.048030853271484375e-01,5.436027050018310547e-01
-9.572823047637939453e-01,5.549834966659545898e-01,-8.832077682018280029e-02,-6.411894559860229492e-01,6.143002510070800781e-01,-1.813253164291381836e-01,2.029616087675094604e-01,2.733221948146820068e-01
